Train loss,Train accuracy,Train precision,Train recall,Validate loss,Validate accuracy,Validate precision,Validate recall
1.354414967,40,0.25,0.28,1.30324349,56.5,0.652173913,0.3
1.260964953,66.5,0.833333333,0.5,1.231961104,68,0.833333333,0.7
1.186295216,69,0.794871795,0.62,1.177453142,69,0.844444444,0.76
1.127661444,71,0.825,0.66,1.134130748,70,0.78,0.78
1.081799081,73.5,0.808510638,0.76,1.10641921,72,0.847826087,0.78
1.058437705,74,0.822222222,0.74,1.085173474,73.5,0.85106383,0.8
1.020613212,79,0.85106383,0.8,1.065372793,76.5,0.807692308,0.84
0.998115842,84,0.9,0.9,1.049593439,85,0.857142857,0.84
0.987909124,87.5,0.87755102,0.86,1.035838003,81.5,0.816326531,0.8
0.967519205,90.5,0.955555556,0.86,1.025667278,82.5,0.854166667,0.82
0.950722396,91.5,0.954545455,0.84,1.008990641,83.5,0.803921569,0.82
0.949211721,90,0.934782609,0.86,1.005853699,84,0.836734694,0.82
0.925082037,91,0.954545455,0.84,1.001613732,84.5,0.836734694,0.82
0.920804097,90.5,0.955555556,0.86,0.989632492,85,0.816326531,0.8
0.916120813,91,0.976744186,0.84,0.986132379,85.5,0.823529412,0.84
0.904974786,92,0.976744186,0.84,0.982449371,83.5,0.826086957,0.76
0.90583053,92,0.976744186,0.84,0.974926816,85.5,0.829787234,0.78
0.895377792,92.5,0.956521739,0.88,0.975527447,84,0.816326531,0.8
0.885821058,93.5,0.977777778,0.88,0.96109586,84.5,0.833333333,0.8
0.873718573,94,0.977777778,0.88,0.960746504,86.5,0.833333333,0.8
0.873153563,94,0.97826087,0.9,0.95551312,85,0.829787234,0.78
0.872926098,92.5,0.955555556,0.86,0.9566658,84.5,0.829787234,0.78
0.867212085,94.5,1,0.88,0.94827149,86,0.788461538,0.82
0.863106393,94,1,0.88,0.950223946,83,0.791666667,0.76
0.855440585,95,0.978723404,0.92,0.95066905,84,0.795918367,0.78
0.852127795,94,0.97826087,0.9,0.947341928,85,0.826086957,0.76
0.850663841,94.5,1,0.88,0.951502369,85,0.8125,0.78
0.840491066,95,0.978723404,0.92,0.942607797,84,0.795918367,0.78
0.839100122,95.5,1,0.92,0.945623311,83,0.74,0.74
0.835003257,95,0.97826087,0.9,0.942917232,84,0.788461538,0.82
0.83282567,96,1,0.94,0.94287937,83.5,0.76,0.76
0.835714597,95,1,0.9,0.939670673,83.5,0.764705882,0.78
0.829797217,95.5,0.978723404,0.92,0.928955899,84,0.791666667,0.76
0.829737567,96,1,0.92,0.942937768,84,0.764705882,0.78
0.825182222,96,1,0.92,0.933360247,85,0.784313725,0.8
0.825582977,96,1,0.92,0.935318204,84,0.764705882,0.78
0.822470587,96,1,0.94,0.940005504,82,0.755102041,0.74
0.824311339,96,1,0.92,0.934298281,84.5,0.764705882,0.78
0.815996138,96,1,0.94,0.927664404,83,0.745098039,0.76
0.819006324,96,1,0.92,0.937198575,83.5,0.775510204,0.76
0.810653223,96,1,0.92,0.933155651,84,0.754716981,0.8
0.810915002,96.5,1,0.92,0.925366599,85.5,0.78,0.78
0.809015063,96.5,1,0.94,0.932569967,84.5,0.78,0.78
0.807978048,97,1,0.94,0.923408554,85.5,0.795918367,0.78
0.803665982,97,1,0.94,0.932134372,83,0.76,0.76
0.807095326,96.5,1,0.94,0.936815757,82,0.755102041,0.74
0.803505861,96.5,1,0.94,0.930066494,83,0.745098039,0.76
0.801909483,96.5,1,0.94,0.931461142,82.5,0.75,0.78
0.803637569,97,1,0.94,0.930533107,83.5,0.745098039,0.76
0.803611806,96.5,1,0.94,0.92430571,83.5,0.775510204,0.76
0.798369311,96.5,1,0.94,0.92343428,85,0.795918367,0.78
0.798724528,97,1,0.94,0.92540702,84.5,0.764705882,0.78
0.79759833,97,1,0.94,0.920888768,84,0.775510204,0.76
0.796570792,97,1,0.94,0.916105449,84,0.764705882,0.78
0.797470817,97,1,0.94,0.923683263,82.5,0.755102041,0.74
0.796871836,97,1,0.94,0.92524827,83,0.775510204,0.76
0.792471363,97,1,0.94,0.932920011,81.5,0.72,0.72
0.790927676,97,1,0.94,0.926715136,81,0.734693878,0.72
0.79139941,96.5,0.979166667,0.94,0.930840158,83,0.787234043,0.74
0.788555998,97,1,0.94,0.925013982,83.5,0.745098039,0.76
0.790719619,97,1,0.94,0.931319273,82.5,0.74,0.74
0.789401293,97.5,0.979166667,0.94,0.924383283,82,0.74,0.74
0.784722369,97,1,0.94,0.920452168,83,0.76,0.76
0.786606674,97,1,0.94,0.917014805,85,0.795918367,0.78
0.781861677,97.5,1,0.94,0.92066144,83.5,0.76,0.76
0.786939593,97.5,0.979591837,0.96,0.915848122,84.5,0.764705882,0.78
0.779719596,98,1,0.96,0.916174907,85,0.788461538,0.82
0.783820459,97,1,0.94,0.9215628,83.5,0.754716981,0.8
0.781387769,97.5,0.979166667,0.94,0.920387919,82.5,0.734693878,0.72
0.780112367,98,1,0.96,0.923292188,84,0.754716981,0.8
0.780682224,98.5,1,0.96,0.919193671,82.5,0.76,0.76
0.783212533,97.5,0.979166667,0.94,0.917248643,84.5,0.78,0.78
0.776545369,98.5,1,0.96,0.912239299,84.5,0.784313725,0.8
0.780523965,98.5,1,0.96,0.91692505,82.5,0.755102041,0.74
0.7762669,98.5,1,0.96,0.912164142,84,0.769230769,0.8
0.77471364,98.5,1,0.96,0.911253402,84.5,0.764705882,0.78
0.774237092,98.5,1,0.96,0.910669258,84,0.78,0.78
0.77471535,98.5,0.979591837,0.96,0.915649721,83.5,0.75,0.78
0.775150308,98,0.979591837,0.96,0.910908158,84.5,0.770833333,0.74
0.771077482,99,1,0.96,0.904253446,87,0.847826087,0.78
0.774030488,98.5,1,0.96,0.915045298,84,0.78,0.78
0.770173536,98.5,1,0.96,0.91481212,83.5,0.76,0.76
0.771142712,98,1,0.96,0.91119752,84.5,0.791666667,0.76
0.772633525,98,1,0.96,0.913322696,84.5,0.775510204,0.76
0.776607894,98.5,1,0.96,0.913663231,84.5,0.826086957,0.76
0.770219624,98.5,1,0.96,0.902230946,86.5,0.847826087,0.78
0.767717137,98.5,1,0.96,0.910800815,84,0.76,0.76
0.766463083,99,1,0.96,0.907320509,85.5,0.795918367,0.78
0.770632551,98.5,1,0.96,0.901841301,86,0.784313725,0.8
0.770846706,98.5,1,0.96,0.918112338,84,0.754716981,0.8
0.766922887,99,1,0.96,0.901333781,85.5,0.788461538,0.82
0.767008983,99,1,0.96,0.901515993,85.5,0.78,0.78
0.764758683,99,1,0.96,0.895834849,87.5,0.836734694,0.82
0.765930469,99,1,0.96,0.907959007,84.5,0.787234043,0.74
0.764873528,99,1,0.96,0.909152769,84.5,0.8,0.72
0.762967683,99,1,0.96,0.904556834,86,0.788461538,0.82
0.765341516,99,1,0.96,0.907605969,85,0.759259259,0.82
0.762941448,99,1,0.96,0.902583448,84,0.78,0.78
0.762413676,99,1,0.96,0.905229587,84,0.770833333,0.74
0.763266834,99,1,0.96,0.905353876,85,0.8,0.8
0.763263395,99,1,0.96,0.896842576,85.5,0.847826087,0.78
0.76453634,99,1,0.96,0.897072058,85.5,0.829787234,0.78
0.762016251,99,1,0.96,0.899671009,85.5,0.844444444,0.76
0.760695586,99,1,0.96,0.902732001,83.5,0.775510204,0.76
0.758657208,99,1,0.96,0.899910432,85,0.8,0.8
0.761343997,99,1,0.96,0.907950929,83,0.764705882,0.78
0.760220207,99,1,0.96,0.904753194,84.5,0.8,0.8
0.760156723,99,1,0.96,0.905907686,84.5,0.784313725,0.8
0.763163755,99,1,0.96,0.896797799,86,0.833333333,0.8
0.760010545,99,1,0.96,0.906718199,84,0.78,0.78
0.761066189,99,1,0.96,0.906223985,85,0.8125,0.78
0.759740765,99,1,0.96,0.904113806,83,0.78,0.78
0.758732658,99,1,0.96,0.910109813,84.5,0.816326531,0.8
0.759566811,99,1,0.96,0.901431693,85.5,0.8125,0.78
0.760135912,99,1,0.96,0.90042636,85.5,0.784313725,0.8
0.759540938,99,1,0.96,0.897482684,86,0.808510638,0.76
0.760028197,99,1,0.96,0.901418746,85.5,0.795918367,0.78
0.76115588,99,1,0.96,0.897268635,86,0.8,0.8
0.758982342,99,1,0.96,0.894341652,86,0.8125,0.78
0.75654691,99.5,1,0.98,0.908573994,82.5,0.770833333,0.74
0.757720759,99.5,1,0.98,0.90915066,84.5,0.8,0.8
0.756948054,99.5,1,0.98,0.898008328,86,0.795918367,0.78
0.755913959,99.5,1,0.98,0.904252593,84,0.764705882,0.78
0.758156029,99,1,0.96,0.89807376,86.5,0.803921569,0.82
0.75726007,99.5,1,0.98,0.898599423,85,0.784313725,0.8
0.757754367,99,1,0.96,0.903417922,86,0.8,0.8
0.757853027,99.5,1,0.98,0.897406592,85.5,0.808510638,0.76
0.755575327,99.5,1,0.98,0.89171035,85,0.808510638,0.76
0.755782549,99.5,1,0.98,0.90347429,84,0.795918367,0.78
0.756175165,99.5,1,0.98,0.907083383,84,0.795918367,0.78
0.756192799,99.5,1,0.98,0.889929446,86,0.869565217,0.8
0.756604369,99.5,1,0.98,0.900887806,84,0.822222222,0.74
0.755870241,99.5,1,0.98,0.89532517,87,0.82,0.82
0.755538876,99.5,1,0.98,0.890064423,86.5,0.829787234,0.78
0.754817431,99.5,1,0.98,0.898647006,85,0.826086957,0.76
0.754342877,99.5,1,0.98,0.90318153,86,0.788461538,0.82
0.754232512,99.5,1,0.98,0.900850026,85,0.78,0.78
0.7555522,99.5,1,0.98,0.902127949,85,0.8125,0.78
0.754404623,99.5,1,0.98,0.89920054,87,0.823529412,0.84
0.753414383,99.5,1,0.98,0.902295035,85,0.795918367,0.78
0.754488046,99.5,1,0.98,0.903076782,84.5,0.784313725,0.8
0.754357466,99.5,1,0.98,0.910400097,82.5,0.777777778,0.7
0.753413109,99.5,1,0.98,0.902817061,85,0.795918367,0.78
0.752882063,99.5,1,0.98,0.909021061,83.5,0.770833333,0.74
0.754167713,99.5,1,0.98,0.90410614,84,0.795918367,0.78
0.755841457,99.5,1,0.98,0.899032973,86,0.8,0.8
0.753577054,99.5,1,0.98,0.894910395,84,0.775510204,0.76
0.753600616,99.5,1,0.98,0.90195726,85,0.8,0.8
0.753229274,99.5,1,0.98,0.90490415,83.5,0.787234043,0.74
0.754073955,99.5,1,0.98,0.896375532,87,0.803921569,0.82
