Train loss,Val loss,Train class accuracy,Train No object accuracy,Train object accuracy,Val class accuracy,Val No object accuracy,Val object accuracy,mAP
35.03461216,26.28272275,65.8586,100,0,69.8113,100,0,0
24.79706333,19.8000788,73.1118,99.9409,0,78.4314,99.8921,0,0
18.43911179,15.18325751,72.3061,99.89,0,74.9235,99.733,0,0
13.01000226,12.4689158,75.0252,99.9669,0,77.0227,99.8743,0,0
11.15960304,11.43049267,73.0691,99.979,0,77.673,99.9613,0,0
9.932327146,10.23789978,74.2195,99.9905,0,75.641,99.9903,0,0
8.850558986,9.001320294,74.0964,99.9957,0,74.9235,99.9914,0,0
8.416761232,8.228595393,73.4164,99.9998,0,77.5701,99.9995,0,0
7.842079142,8.164964403,73.1928,100,0,75.1572,100,0,0
7.195476739,7.674481664,75.0769,100,0,76.324,100,0,0
7.401357982,7.321445669,75.7301,99.9992,0.2014,75.7009,99.9968,0.6231,0.0035
6.812233407,7.660645144,75.9714,99.9994,0.7157,73.5202,99.9999,0,0
6.438107698,7.113115651,75.7949,99.9995,0.3077,79.7508,100,0,0
6.301345991,6.631169592,76.4228,99.9969,2.5407,76.4151,99.9968,2.8302,0.0212
6.083226473,6.445846898,75.6294,99.9997,0.2014,80.0623,99.9997,0.9346,0.0024
5.777889936,6.409924235,77.5776,99.9983,1.2012,74.2857,99.9996,0.6349,0.0267
5.622526542,6.09113993,77.4481,99.9753,9.9901,72.4359,99.9686,14.7436,0.1761
5.441874774,5.936607293,77.4421,99.9967,2.1148,73.4568,99.9973,4.0123,0.0934
5.318811292,5.923358849,78.3784,99.9718,10.9109,77.1429,99.957,16.1905,0.1307
5.062658579,6.111743859,78.0808,99.9888,5.0505,73.5974,99.989,7.2607,0.1225
4.854557535,5.317353385,79.2548,99.9912,4.9345,75.0779,99.9924,6.2305,0.1278
4.658214714,5.724471024,79.0909,99.9836,11.0101,74.7664,99.9776,18.3801,0.1072
4.488402377,5.338842256,79.3555,99.9129,24.4713,77.9935,99.9192,31.7152,0.2091
4.572762935,4.869276387,78.9744,99.965,17.2308,75.9076,99.9564,22.7723,0.1138
4.483436035,5.326761246,76.7068,99.9248,26.004,78.5256,99.9372,29.1667,0.2112
4.242438648,4.597190516,80.7808,99.9502,22.022,77.8788,99.9294,33.0303,0.2608
4.04561588,4.348968233,79.1919,99.9287,28.2828,79.1667,99.9237,38.7821,0.2907
